FID,Reference,ReferenceNumb,studyYear,State,location,soil,planted date,Date rust first appeared,Growth stage applied,applicationsNumb,trade name,active ingredient,active ingredient coded,class,class code,amount,stats,replications,mean sep,rustSeverPerc,rustSeverPercLSD,rustSeverPercCont,rustSeverPercContLSD,rustSever1-8,rustSever1-8LSD,rustSever1-8Cont,rustSever1-8ContLSD,Tsincidence,TSincidenceLSD,TSincidenceCont,TSincidenceContLSD,Tsseverity,TSseverityLSD,TSseverityCont,TSseverityContLSD,CercoSever,CercoSeverLSD,CercoSeverCont,CercoSeverContLSD,yield,yieldLSD,yieldCont,yieldContLSD,seedWt,seedWtLSD,seedWtCont,seedWtContLSD,defoliation,lsd,control defol,conrol lsd,aerial web,lsd arial,control arial web,lsd arial
90,Lawrence ref 16,16,2008,AL,GCREC,Malbis fine sandy loam,39608,,r3,1,Folicur,tebuconazole,tebu,triazole,triazole,4,rcb,4,Fishers LSD (p</=0.1,,,,,6.3,1.6,7.1,1.6,,,,,,,,,,,,,39.5,6.3,31.5,6.3,,,,,79,51.5,97.5,51.5,,,,
91,Lawrence ref 16,16,2008,AL,GCREC,Malbis fine sandy loam,39608,,r3,1,Stratego + Proline,propiconizole + trifloxystrobin + prothioconazole,prop+trif+prot,mixed modes of action,mma,10 + 1,rcb,4,Fishers LSD (p</=0.1,,,,,5.4,1.6,7.1,1.6,,,,,,,,,,,,,40.2,6.3,31.5,6.3,,,,,74.1,51.5,97.5,51.5,,,,
92,Lawrence ref 16,16,2008,AL,GCREC,Malbis fine sandy loam,39608,,r3 + r5,2,Quadris + Alto,azoxystrobin + cyproconizole,azo+cypr,mixed modes of action,mma,6 + 4,rcb,4,Fishers LSD (p</=0.1,,,,,4,1.6,7.1,1.6,,,,,,,,,,,,,33.1,6.3,31.5,6.3,,,,,37.5,51.5,97.5,51.5,,,,
93,Lawrence ref 16,16,2008,AL,GCREC,Malbis fine sandy loam,39608,,r3 + r5,2,Headline + Folicur,pyraclostrobin + tebuconazole,pyra+tebu,mixed modes of action,mma,4.5 + 4,rcb,4,Fishers LSD (p</=0.1,,,,,5,1.6,7.1,1.6,,,,,,,,,,,,,35.4,6.3,31.5,6.3,,,,,53,51.5,97.5,51.5,,,,
94,Lawrence ref 16,16,2008,AL,GCREC,Malbis fine sandy loam,39608,,r3 + r5,2,Topguard,flutrifol,flut,triazole,triazole,7,rcb,4,Fishers LSD (p</=0.1,,,,,2.7,1.6,7.1,1.6,,,,,,,,,,,,,39.5,6.3,31.5,6.3,,,,,51.5,51.5,97.5,51.5,,,,
95,Lawrence ref 16,16,2008,AL,GCREC,Malbis fine sandy loam,39608,,r3 + r5,2,Domark,tetraconazole,tetr,triazole,triazole,5,rcb,4,Fishers LSD (p</=0.1,,,,,4.5,1.6,7.1,1.6,,,,,,,,,,,,,39.6,6.3,31.5,6.3,,,,,40.8,51.5,97.5,51.5,,,,
96,Lawrence ref 16,16,2008,AL,GCREC,Malbis fine sandy loam,39608,,r3 + r5,2,Stratego,propiconizole + trifloxystrobin,,mixed modes of action,mma,10,rcb,4,Fishers LSD (p</=0.1,,,,,5.3,1.6,7.1,1.6,,,,,,,,,,,,,37.9,6.3,31.5,6.3,,,,,70.3,51.5,97.5,51.5,,,,
97,Delaney ref 17,17,2010,AL,TVRREC,Decatur clay loam,40303,,r2,1,Headline,pyraclostrobin,pyra,strobilurin,strobilurin,6,rcb,4,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,40.4,4.6,33.4,4.6,12.84,0.5,12.28,0.5,,,,,14.3,7.6,28.5,7.6
98,Delaney ref 17,17,2010,AL,TVRREC,Decatur clay loam,40303,,r2 + r5,2,Headline,pyraclostrobin,pyra,strobilurin,strobilurin,6,rcb,4,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,40.3,4.6,33.4,4.6,12.67,0.5,12.28,0.5,,,,,13,7.6,28.5,7.6
99,Delaney ref 17,17,2010,AL,TVRREC,Decatur clay loam,40303,,r2,1,Quadris,azoxystrobin,azo,strobilurin,strobilurin,6,rcb,4,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,33.2,4.6,33.4,4.6,12.68,0.5,12.28,0.5,,,,,16.3,7.6,28.5,7.6
100,Delaney ref 17,17,2010,AL,TVRREC,Decatur clay loam,40303,,r2 + r5,2,Quadris,azoxystrobin,azo,strobilurin,strobilurin,6,rcb,4,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,36.7,4.6,33.4,4.6,12.54,0.5,12.28,0.5,,,,,18.8,7.6,28.5,7.6
101,Delaney ref 17,17,2010,AL,TVRREC,Decatur clay loam,40303,,r2,1,Stratego,propiconizole + trifloxystrobin,prop+trif,mixed modes of action,mma,10,rcb,4,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,40.9,4.6,33.4,4.6,12.88,0.5,12.28,0.5,,,,,15,7.6,28.5,7.6
102,Delaney ref 17,17,2010,AL,TVRREC,Decatur clay loam,40303,,r2 + r5,2,Stratego,propiconizole + trifloxystrobin,prop+trif,mixed modes of action,mma,10,rcb,4,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,38.8,4.6,33.4,4.6,12.91,0.5,12.28,0.5,,,,,11,7.6,28.5,7.6
103,Delaney ref 17,17,2010,AL,TVRREC,Decatur clay loam,40303,,r2,1,Domark,tetraconazole,tetr,triazole,triazole,5,rcb,4,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,37,4.6,33.4,4.6,12.96,0.5,12.28,0.5,,,,,18.3,7.6,28.5,7.6
104,Delaney ref 17,17,2010,AL,TVRREC,Decatur clay loam,40303,,r2 + r5,2,Domark,tetraconazole,tetr,triazole,triazole,5,rcb,4,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,38.5,4.6,33.4,4.6,12.67,0.5,12.28,0.5,,,,,15.8,7.6,28.5,7.6
105,Delaney ref 17,17,2010,AL,TVRREC,Decatur clay loam,40303,,,0,control,,,,,,rcb,4,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,,,33.4,4.6,,,,,,,,,28.5,7.6,28.5,7.6
106,Lawrence ref 18,18,2006,AL,GCREC,Malbis fine sandy loam,38860,,r2 + r4,2,Folicur,tebuconazole,tebu,triazole,triazole,4,rcb,4,Fishers LSD (p</=0.05,,,,,2,0.7,8.5,0.7,,,,,,,,,,,,,65.73,5.8,61.39,5.8,,,,,,,,,,,,
107,Lawrence ref 18,18,2006,AL,GCREC,Malbis fine sandy loam,38860,,r2 + r4,2,Absolute,tebuconazole + trifloxystrobin,tebu+trif,mixed modes of action,mma,5,rcb,4,Fishers LSD (p</=0.05,,,,,2,0.7,8.5,0.7,,,,,,,,,,,,,65.97,5.8,61.39,5.8,,,,,,,,,,,,
108,Lawrence ref 18,18,2006,AL,GCREC,Malbis fine sandy loam,38860,,r2 + r4,2,Stratego + Induce,propiconizole + trifloxystrobin + other,prop+trif,mixed modes of action,mma,10,rcb,4,Fishers LSD (p</=0.05,,,,,2.25,0.7,8.5,0.7,,,,,,,,,,,,,71.95,5.8,61.39,5.8,,,,,,,,,,,,
109,Lawrence ref 21,21,2005,AL,EVSRS,Cahaba sandy loam,38495,39309,r3,1,Folicur + Stratego,propiconizole + trifloxystrobin + tebuconazole,prop+trif+tebu,mixed modes of action,mma,4 + 10,rcb,4,Fishers LSD (p</=0.1,0,14.6,23.7,14.6,,,,,56.3,13.7,57.5,13.7,2,0.7,2.5,0.7,,,,,63.147,11.017,62.1,11.017,,,,,,,,,,,,
110,Lawrence ref 21,21,2005,AL,EVSRS,Cahaba sandy loam,38495,39309,r3,1,Folicur + Stratego,propiconizole + trifloxystrobin + tebuconazole,prop+trif+tebu,mixed modes of action,mma,4 + 7,rcb,4,Fishers LSD (p</=0.1,2.5,14.6,23.7,14.6,,,,,58.8,13.7,57.5,13.7,1.13,0.7,2.5,0.7,,,,,62.784,11.017,62.1,11.017,,,,,,,,,,,,
111,Lawrence ref 21,21,2005,AL,EVSRS,Cahaba sandy loam,38495,39309,r5,1,Folicur + Stratego,propiconizole + trifloxystrobin + tebuconazole,prop+trif+tebu,mixed modes of action,mma,4 + 7,rcb,4,Fishers LSD (p</=0.1,0,14.6,23.7,14.6,,,,,51.3,13.7,57.5,13.7,1.88,0.7,2.5,0.7,,,,,64.655,11.017,62.1,11.017,,,,,,,,,,,,
112,Lawrence ref 21,21,2005,AL,EVSRS,Cahaba sandy loam,38495,39309,r3,1,Absolute,tebuconazole + trifloxystrobin,tebu+trif,triazole,triazole,5,rcb,4,Fishers LSD (p</=0.1,0,14.6,23.7,14.6,,,,,52.5,13.7,57.5,13.7,2.13,0.7,2.5,0.7,,,,,66.454,11.017,62.1,11.017,,,,,,,,,,,,
113,Lawrence ref 21,21,2005,AL,EVSRS,Cahaba sandy loam,38495,39309,r3,1,Absolute,tebuconazole + trifloxystrobin,tebu+trif,triazole,triazole,7,rcb,4,Fishers LSD (p</=0.1,0,14.6,23.7,14.6,,,,,58.8,13.7,57.5,13.7,2.25,0.7,2.5,0.7,,,,,62.784,11.017,62.1,11.017,,,,,,,,,,,,
114,Lawrence ref 21,21,2005,AL,EVSRS,Cahaba sandy loam,38495,39309,r3,1,Folicur ,tebuconazole,tebu ,triazole,triazole,4,rcb,4,Fishers LSD (p</=0.1,0,14.6,23.7,14.6,,,,,55,13.7,57.5,13.7,13,0.7,2.5,0.7,,,,,66.962,11.017,62.1,11.017,,,,,,,,,,,,
115,Lawrence ref 22,22,2008,AL,GCREC,Malbis fine sandy loam,39608,39675,r3 + r5,2,LEM 17,other,oth,other,other,9.6,rcb,4,Fishers LSD (p</=0.1,3.4,0.9,5,0.9,,,,,,,,,,,,,,,,,45.8,2.52,42.7,2.52,,,,,,,,,,,,
116,Lawrence ref 22,22,2008,AL,GCREC,Malbis fine sandy loam,39608,39675,r3 + r5,2,LEM 17,other,oth,other,other,16.8,rcb,4,Fishers LSD (p</=0.1,3,0.9,5,0.9,,,,,,,,,,,,,,,,,44.9,2.52,42.7,2.52,,,,,,,,,,,,
117,Lawrence ref 22,22,2008,AL,GCREC,Malbis fine sandy loam,39608,39675,r3 + r5,2,LEM 17 + Punch,other + flusilazole ,oth+flus,mixed modes of action,mma,9.6 + 3,rcb,4,Fishers LSD (p</=0.1,2.6,0.9,5,0.9,,,,,,,,,,,,,,,,,43.7,2.52,42.7,2.52,,,,,,,,,,,,
118,Lawrence ref 22,22,2008,AL,GCREC,Malbis fine sandy loam,39608,39675,r3 + r5,2,Picoxystrobin,picoxystrobin,pico,strobilurin,strobilurin,6,rcb,4,Fishers LSD (p</=0.1,2.6,0.9,5,0.9,,,,,,,,,,,,,,,,,43.7,2.52,42.7,2.52,,,,,,,,,,,,
119,Lawrence ref 22,22,2008,AL,GCREC,Malbis fine sandy loam,39608,39675,r3 + r5,2,Picoxystrobin,picoxystrobin,pico,strobilurin,strobilurin,8,rcb,4,Fishers LSD (p</=0.1,2.8,0.9,5,0.9,,,,,,,,,,,,,,,,,42.9,2.52,42.7,2.52,,,,,,,,,,,,
120,Lawrence ref 22,22,2008,AL,GCREC,Malbis fine sandy loam,39608,39675,r3 + r5,2,Picoxystrobin,picoxystrobin,pico,strobilurin,strobilurin,12,rcb,4,Fishers LSD (p</=0.1,2.6,0.9,5,0.9,,,,,,,,,,,,,,,,,43.8,2.52,42.7,2.52,,,,,,,,,,,,
121,Lawrence ref 22,22,2008,AL,GCREC,Malbis fine sandy loam,39608,39675,r3 + r5,2,Punch + Headline,flusilazole + pyraclostrobin,flus+pyra,mixed modes of action,mma,3 + 4.5,rcb,4,Fishers LSD (p</=0.1,2.6,0.9,5,0.9,,,,,,,,,,,,,,,,,45.7,2.52,42.7,2.52,,,,,,,,,,,,
122,Lawrence ref 22,22,2008,AL,GCREC,Malbis fine sandy loam,39608,39675,r3 + r5,2,Punch + Headline,flusilazole + pyraclostrobin,flus+pyra,mixed modes of action,mma,3,rcb,4,Fishers LSD (p</=0.1,2,0.9,5,0.9,,,,,,,,,,,,,,,,,44.3,2.52,42.7,2.52,,,,,,,,,,,,
123,Lawrence ref 22,22,2008,AL,GCREC,Malbis fine sandy loam,39608,39675,r3 + r5,2,Headline,pyraclostrobin,pyra,strobilurin,strobilurin,4.5,rcb,4,Fishers LSD (p</=0.1,2,0.9,5,0.9,,,,,,,,,,,,,,,,,45.4,2.52,42.7,2.52,,,,,,,,,,,,
124,Sikora ref 23,23,2007,AL,GCREC,Malbis fine sandy loam,,,r2 + r5,2,Headline,pyraclostrobin,pyra,strobilurin,strobilurin,7.8,rcb,4,Fishers LSD (p</=0.1,2.4,1.3,8,1.3,,,,,,,,,,,,,,,,,86,12.6,52.3,12.6,,,,,,,,,,,,
125,Sikora ref 23,23,2007,AL,GCREC,Malbis fine sandy loam,,,r2 + r5,2,Stratego,propiconizole + trifloxystrobin,prop+trif,mixed modes of action,mma,10,rcb,4,Fishers LSD (p</=0.1,4.3,1.3,8,1.3,,,,,,,,,,,,,,,,,65.2,12.6,52.3,12.6,,,,,,,,,,,,
126,Sikora ref 23,23,2007,AL,GCREC,Malbis fine sandy loam,,,r2 + r5,2,Quilt,propiconizole + azoxystrobin,prop+azo,mixed modes of action,mma,14,rcb,4,Fishers LSD (p</=0.1,6.4,1.3,8,1.3,,,,,,,,,,,,,,,,,76.5,12.6,52.3,12.6,,,,,,,,,,,,
127,Sikora ref 23,23,2007,AL,GCREC,Malbis fine sandy loam,,,r2 + r5,2,Headline + Folicur,pyraclostrobin + tebucanozole,pyra+tebu,mixed modes of action,mma,7.8 + 4,rcb,4,Fishers LSD (p</=0.1,3.4,1.3,8,1.3,,,,,,,,,,,,,,,,,82.5,12.6,52.3,12.6,,,,,,,,,,,,
128,Sikora ref 23,23,2007,AL,GCREC,Malbis fine sandy loam,,,r2 + r5,2,Headline + Laredo,pyraclostrobin + myclobutanil,pyra+myc,mixed modes of action,mma,7.8 + 7,rcb,4,Fishers LSD (p</=0.1,1.7,1.3,8,1.3,,,,,,,,,,,,,,,,,84.5,12.6,52.3,12.6,,,,,,,,,,,,
129,Sikora ref 23,23,2007,AL,GCREC,Malbis fine sandy loam,,,r2 + r5,2,Headline + Topguard,pyraclostrobin + flutriafol,pyra+flut,mixed modes of action,mma,7.8 + 7,rcb,4,Fishers LSD (p</=0.1,0.5,1.3,8,1.3,,,,,,,,,,,,,,,,,89.7,12.6,52.3,12.6,,,,,,,,,,,,
130,Sikora ref 23,23,2007,AL,GCREC,Malbis fine sandy loam,,,r2 + r5,2,Stratego + Folicur,propiconizole + trifloxystrobin + tebucanozole,prop+trif+tebu,mixed modes of action,mma,10 + 4,rcb,4,Fishers LSD (p</=0.1,5.4,1.3,8,1.3,,,,,,,,,,,,,,,,,82.5,12.6,52.3,12.6,,,,,,,,,,,,
131,Sikora ref 23,23,2007,AL,GCREC,Malbis fine sandy loam,,,r2 + r5,2,Stratego + Laredo,propiconizole + trifloxystrobin + myclobutanil,prop+trif+myc,mixed modes of action,mma,10 + 7,rcb,4,Fishers LSD (p</=0.1,4.5,1.3,8,1.3,,,,,,,,,,,,,,,,,75.8,12.6,52.3,12.6,,,,,,,,,,,,
132,Sikora ref 23,23,2007,AL,GCREC,Malbis fine sandy loam,,,r2 + r5,2,Quilt + Folicur,propiconizole + azoxystrobin +  tebucanozole,prop+azo+tebu,mixed modes of action,mma,14 + 4,rcb,4,Fishers LSD (p</=0.1,5.7,1.3,8,1.3,,,,,,,,,,,,,,,,,80.3,12.6,52.3,12.6,,,,,,,,,,,,
133,Sikora ref 23,23,2007,AL,GCREC,Malbis fine sandy loam,,,r2 + r5,2,Quilt + Laredo,propiconizole + azoxystrobin + mycobutanil,prop+azo+myc,mixed modes of action,mma,14 + 7,rcb,4,Fishers LSD (p</=0.1,6,1.3,8,1.3,,,,,,,,,,,,,,,,,77.3,12.6,52.3,12.6,,,,,,,,,,,,
134,Sikora ref 23,23,2007,AL,GCREC,Malbis fine sandy loam,,,r2 + r5,2,Quilt + Toguard,propiconizole + azoxystrobin + flutriafol,prop+azo+flut,mixed modes of action,mma,14 + 7,rcb,4,Fishers LSD (p</=0.1,1.7,1.3,8,1.3,,,,,,,,,,,,,,,,,84.1,12.6,52.3,12.6,,,,,,,,,,,,
135,Sikora ref 23,23,2007,AL,GCREC,Malbis fine sandy loam,,,r2 + r5,2,Stratego + Topguard,propiconizole + trifloxystrobin + flutriafol,prop+trif+flut,mixed modes of action,mma,10 + 7,rcb,4,Fishers LSD (p</=0.1,1.5,1.3,8,1.3,,,,,,,,,,,,,,,,,92.1,12.6,52.3,12.6,,,,,,,,,,,,
136,Delaney ref 24,24,2010,AL,EVS,Compass loamy sand,40304,,r3,1,Headline,pyraclostrobin,pyra,strobilurin ,strobilurin ,6,rcb,4,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,29.9,3.5,32.6,3.5,15.14,0.66,15.08,0.66,,,,,,,,
137,Delaney ref 24,24,2010,AL,EVS,Compass loamy sand,40304,,r3 + r5,2,Headline,pyraclostrobin,pyra,strobilurin ,strobilurin ,6,rcb,4,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,31,3.5,32.6,3.5,15.12,0.66,15.08,0.66,,,,,,,,
138,Delaney ref 24,24,2010,AL,EVS,Compass loamy sand,40304,,r3,1,Quadris,azoxystrobin,azo,strobilurin ,strobilurin ,6,rcb,4,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,32.3,3.5,32.6,3.5,15.26,0.66,15.08,0.66,,,,,,,,
139,Delaney ref 24,24,2010,AL,EVS,Compass loamy sand,40304,,r3+r5,2,Quadris,azoxystrobin,azo,strobilurin ,strobilurin ,6,rcb,4,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,30.8,3.5,32.6,3.5,15.7,0.66,15.08,0.66,,,,,,,,
140,Delaney ref 24,24,2010,AL,EVS,Compass loamy sand,40304,,r3,1,Stratego,propiconizole + trifloxystrobin,prop+trif,mixed modes of action,mma,10,rcb,4,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,32.7,3.5,32.6,3.5,14.92,0.66,15.08,0.66,,,,,,,,
141,Delaney ref 24,24,2010,AL,EVS,Compass loamy sand,40304,,r3 + r5,2,Stratego,propiconizole + trifloxystrobin,prop+trif,mixed modes of action,mma,10,rcb,4,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,32.7,3.5,32.6,3.5,15.14,0.66,15.08,0.66,,,,,,,,
142,Delaney ref 24,24,2010,AL,EVS,Compass loamy sand,40304,,r3,1,Domark,tetraconazole,tetr,triazole,triazole,5,rcb,4,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,31.1,3.5,32.6,3.5,14.69,0.66,15.08,0.66,,,,,,,,
143,Delaney ref 24,24,2010,AL,EVS,Compass loamy sand,40304,,r3 + r5,2,Domark,tetraconazole,tetr,triazole,triazole,5,rcb,4,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,31.1,3.5,32.6,3.5,15.45,0.66,15.08,0.66,,,,,,,,
144,O'Brien ref 25,25,2012,FL,NFREC,"fine-loamy, thermic Plinthic Kandiudult",41464,,r2,1,Topguard,flutrifol,flut,triazole,triazole,7,rcb,4,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,43.3,5.96,27.8,5.96,16.44,1.7,12.76,1.7,,,,,,,,
145,O'Brien ref 25,25,2012,FL,NFREC,"fine-loamy, thermic Plinthic Kandiudult",41464,,r2 + r5.5,2,Domark,tetraconazole,tetr,triazole,triazole,5 + 5,rcb,4,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,39.2,5.96,27.8,5.96,16.73,1.7,12.76,1.7,,,,,,,,
146,O'Brien ref 25,25,2012,FL,NFREC,"fine-loamy, thermic Plinthic Kandiudult",41464,,r2 + r5.5,2,Topguard,flutrifol,flut,triazole,triazole,7 + 7,rcb,4,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,37.6,5.96,27.8,5.96,15.59,1.7,12.76,1.7,,,,,,,,
147,O'Brien ref 25,25,2012,FL,NFREC,"fine-loamy, thermic Plinthic Kandiudult",41464,,r2,1,Restore + Topguard,other + flutrifol,oth+flut,mixed modes of action,mma,4 + 7,rcb,4,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,36.3,5.96,27.8,5.96,16.44,1.7,12.76,1.7,,,,,,,,
148,O'Brien ref 25,25,2012,FL,NFREC,"fine-loamy, thermic Plinthic Kandiudult",41464,,r2,1,carbon buffer,other ,oth,other ,other ,64,rcb,4,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,30.4,5.96,27.8,5.96,12.19,1.7,12.76,1.7,,,,,,,,
149,O'Brien ref 25,25,2012,FL,NFREC,"fine-loamy, thermic Plinthic Kandiudult",41464,,r2,1,liquid boron,other,oth,other,other,32,rcb,4,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,29.9,5.96,27.8,5.96,11.91,1.7,12.76,1.7,,,,,,,,
150,O'Brien ref 25,25,2012,FL,NFREC,"fine-loamy, thermic Plinthic Kandiudult",41464,,r2,1,Restore  ,other,oth,other,other,64,rcb,4,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,29.5,5.96,27.8,5.96,12.47,1.7,12.76,1.7,,,,,,,,
151,Delaney ref 26,26,2013,AL,GCREC,Malbis fine sandy loam,,,,1,Topguard,flutrifol,flut,triazole,triazole,7,,3,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,63.4,5.29,47.5,5.29,,,,,,,,,,,,
152,Delaney ref 26,26,2013,AL,GCREC,Malbis fine sandy loam,,,,1,Stratego YLD,propiconizole + trifloxystrobin,prop+trif,mixed modes of action,mma,4,,3,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,63.4,5.29,47.5,5.29,,,,,,,,,,,,
153,Delaney ref 26,26,2013,AL,GCREC,Malbis fine sandy loam,,,,1,Tebuconazole,tebuconazole,tebu,triazole,triazole,7,,3,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,61.8,5.29,47.5,5.29,,,,,,,,,,,,
154,Delaney ref 26,26,2013,AL,GCREC,Malbis fine sandy loam,,,,0,Control,,,,,,,,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Delaney ref 27,27,2013,AL,Brewton,Benndale fine sandy loam,,,,1,Topguard,flutrifol,flut,triazole,triazole,7,,3,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Delaney ref 27,27,2013,AL,Brewton,Benndale fine sandy loam,,,,1,Folicur,tebuconazole,tebu,triazole,triazole,4,,3,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Delanely ref 28,28,2013,AL,SMREC,Hartselles fine sandy loam,,,,1,Topguard,flutrifol,flut,triazole,triazole,7,,3,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,20.5,9.76,11.6,9.76,,,,,,,,,,,,
158,Delanely ref 28,28,2013,AL,SMREC,Hartselles fine sandy loam,,,,1,Monsoon,tebuconazole,tebu,triazole,triazole,4,,3,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,23.3,9.76,11.6,9.76,,,,,,,,,,,,
159,Delaney ref 29,29,2013,AL,EVSREC,Cahaba sandy loam,,,,1,Topguard,flutrifol,flut,triazole,triazole,7,,3,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Delaney ref 29,29,2013,AL,EVSREC,Cahaba sandy loam,,,,1,Tebuconazole,tebuconazole,tebu,triazole,triazole,4,,3,Fishers LSD (p</=0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Delaney ref 30,30,2013,AL,EVSREC,Cahaba sandy loam,41450,,,1,Topguard,flutrifol,flut,triazole,triazole,7,rcb,4,Fishers LSD (p</=0.1,,,,,1.2,1,4.9,1,,,,,3.6,0.6,4,0.6,,,,,44.1,4.6,43.2,4.6,12.2,0.6,11.7,0.6,,,,,,,,
162,Delaney ref 30,30,2013,AL,EVSREC,Cahaba sandy loam,41450,,,1,Domark,tetraconazole,tetr,triazole,triazole,5,rcb,4,Fishers LSD (p</=0.1,,,,,1.5,1,4.9,1,,,,,3.6,0.6,4,0.6,,,,,49,4.6,43.2,4.6,12.4,0.6,11.7,0.6,,,,,,,,
163,Delaney ref 30,30,2013,AL,EVSREC,Cahaba sandy loam,41450,,,1,Tebuconazole,tebuconazole,tebu,triazole,triazole,4,rcb,4,Fishers LSD (p</=0.1,,,,,2,1,4.9,1,,,,,4,0.6,4,0.6,,,,,47.7,4.6,43.2,4.6,12.8,0.6,11.7,0.6,,,,,,,,
164,Delaney ref 30,30,2013,AL,EVSREC,Cahaba sandy loam,41450,,,1,Headline,pyraclostrobin,pyra,strobilurin,strobilurin,6,rcb,4,Fishers LSD (p</=0.1,,,,,2.7,1,4.9,1,,,,,3.9,0.6,4,0.6,,,,,42.9,4.6,43.2,4.6,11.9,0.6,11.7,0.6,,,,,,,,
165,Delaney ref 30,30,2013,AL,EVSREC,Cahaba sandy loam,41450,,,1,Headline + Topguard,pyraclostrobin + flutrifol,pyra+flut,mixed modes of action,mma,6 + 7,rcb,4,Fishers LSD (p</=0.1,,,,,1.3,1,4.9,1,,,,,3.1,0.6,4,0.6,,,,,51.4,4.6,43.2,4.6,12.8,0.6,11.7,0.6,,,,,,,,
166,Delaney ref 30,30,2013,AL,EVSREC,Cahaba sandy loam,41450,,,1,Priaxor,fluxapyroxad + pyraclostrobin,flux+pyra,mixed modes of action,mma,4,rcb,4,Fishers LSD (p</=0.1,,,,,3.6,1,4.9,1,,,,,3.5,0.6,4,0.6,,,,,41.5,4.6,43.2,4.6,12.2,0.6,11.7,0.6,,,,,,,,
167,Delaney ref 30,30,2013,AL,EVSREC,Cahaba sandy loam,41450,,,1,Quilt Xcel,azoxystrobin + propiconazole,azo+prop,mixed modes of action,mma,14,rcb,4,Fishers LSD (p</=0.1,,,,,3.6,1,4.9,1,,,,,3.6,0.6,4,0.6,,,,,44.5,4.6,43.2,4.6,11.8,0.6,11.7,0.6,,,,,,,,
168,Delaney ref 30,30,2013,AL,EVSREC,Cahaba sandy loam,41450,,,1,Quadris Top SB,azoxystrobin + difenoconazole,azo+dife,mixed modes of action,mma,12,rcb,4,Fishers LSD (p</=0.1,,,,,2.7,1,4.9,1,,,,,3.2,0.6,4,0.6,,,,,46.3,4.6,43.2,4.6,12.2,0.6,11.7,0.6,,,,,,,,
169,Delaney ref 30,30,2013,AL,EVSREC,Cahaba sandy loam,41450,,,1,Stratego YLD,prothioconazole + trifloxystrobin,prot+trif,mixed modes of action,mma,4,rcb,4,Fishers LSD (p</=0.1,,,,,2.7,1,4.9,1,,,,,3.8,0.6,4,0.6,,,,,48.2,4.6,43.2,4.6,12.5,0.6,11.7,0.6,,,,,,,,
170,Delaney ref 31,31,2013,AL,SMRED,Hartselles fine sandy loam,41450,,,1,Topguard,flutrifol,flut,triazole,triazole,7,rcb,4,Fishers LSD (p</=0.1,,,,,2,0.8,7.9,0.8,,,,,,,,,,,,,70.2,4.32,57.6,4.32,,,,,,,,,,,,
171,Delaney ref 31,31,2013,AL,SMRED,Hartselles fine sandy loam,41450,,,1,Domark,tetraconazole,tetr,triazole,triazole,5,rcb,4,Fishers LSD (p</=0.1,,,,,2.5,0.8,7.9,0.8,,,,,,,,,,,,,73.4,4.32,57.6,4.32,,,,,,,,,,,,
